,id,name,popularity
0,2710,James Cameron,4.973699
1,1704,Gore Verbinski,3.107182
2,39,Sam Mendes,2.667
3,525,Christopher Nolan,3.160919
4,7,Andrew Stanton,1.588633
5,7623,Sam Raimi,1.930133
6,76595,Byron Howard,1.01058
7,121830,Nathan Greno,2.9e-05
8,12891,Joss Whedon,2.824829
9,11343,David Yates,2.936039
10,15217,Zack Snyder,4.108712
11,9032,Bryan Singer,3.576538
12,12995,Marc Forster,2.044824
13,1704,Gore Verbinski,3.107182
14,1704,Gore Verbinski,3.107182
15,15217,Zack Snyder,4.108712
16,5524,Andrew Adamson,0.742778
17,12891,Joss Whedon,2.824829
18,17633,Rob Marshall,2.794131
19,5174,Barry Sonnenfeld,1.260464
20,108,Peter Jackson,2.684107
21,87742,Marc Webb,0.143331
22,578,Ridley Scott,3.277801
23,108,Peter Jackson,2.684107
24,3288,Chris Weitz,2.323427
25,108,Peter Jackson,2.684107
26,2710,James Cameron,4.973699
27,19271,Anthony Russo,0.860495
28,19272,Joe Russo,4.210177
29,36602,Peter Berg,1.664985
30,930707,Colin Trevorrow,0.834095
31,39,Sam Mendes,2.667
32,7623,Sam Raimi,1.930133
33,1108,Shane Black,1.74629
34,510,Tim Burton,2.560796
35,11091,Brett Ratner,1.590795
36,225976,Dan Scanlon,0.000141
37,865,Michael Bay,2.567437
38,865,Michael Bay,2.567437
39,7623,Sam Raimi,1.930133
40,87742,Marc Webb,0.143331
41,86270,Joseph Kosinski,0.181192
42,7879,John Lasseter,1.841616
43,32532,Brad Lewis,8.8e-05
44,10702,Martin Campbell,2.01431
45,8,Lee Unkrich,0.465014
46,36425,McG,0.66664
47,2127,James Wan,2.900688
48,12995,Marc Forster,2.044824
49,9032,Bryan Singer,3.576538
50,15344,J.J. Abrams,3.828826
51,9032,Bryan Singer,3.576538
52,6201,Baz Luhrmann,1.11403
53,10723,Mike Newell,0.583453
54,10828,Guillermo del Toro,2.922735
55,865,Michael Bay,2.567437
56,488,Steven Spielberg,7.205305
57,21198,Peter Sohn,3.058066
58,59803,Brenda Chapman,0.005421
59,126638,Mark Andrews,1e-06
60,137262,Steve Purcell,5.6e-05
61,58189,Justin Lin,1.236449
62,7,Andrew Stanton,1.588633
63,11091,Brett Ratner,1.590795
64,6046,Roland Emmerich,1.975199
65,24,Robert Zemeckis,1.619012
66,9339,Lilly Wachowski,1.711121
67,9340,Lana Wachowski,1.119525
68,11343,David Yates,2.936039
69,5524,Andrew Adamson,0.742778
70,9032,Bryan Singer,3.576538
71,525,Christopher Nolan,3.160919
72,12890,Pete Docter,2.267856
73,12080,Conrad Vernon,0.924583
74,65630,Rob Letterman,0.088035
75,15277,Jon Favreau,4.529217
76,1032,Martin Scorsese,5.09931
77,5174,Barry Sonnenfeld,1.260464
78,18878,Rob Cohen,2.107122
79,19769,David Ayer,2.330581
80,4499,Tom Shadyac,0.260844
81,11694,Doug Liman,2.249579
82,8300,Kevin Reynolds,1.5e-05
83,7775,Stephen Sommers,0.775132
84,12890,Pete Docter,2.267856
85,15277,Jon Favreau,4.529217
86,15277,Jon Favreau,4.529217
87,228134,Rupert Sanders,1.340418
88,1032536,Robert Stromberg,1e-05
89,32278,Matt Reeves,1.627654
90,8965,Roland Joffé,6e-06
91,239571,Carl Rinsch,0.001944
92,19271,Anthony Russo,0.860495
93,19272,Joe Russo,4.210177
94,64151,Mike Mitchell,0.088067
95,7087,Brad Bird,2.76686
96,70238,Chris Williams,1.832057
97,227439,Don Hall,0.595832
98,165787,Rich Moore,1.135407
99,24,Robert Zemeckis,1.619012
100,6046,Roland Emmerich,1.975199
101,66193,Chris Sanders,0.791216
102,69797,Dean DeBlois,0.051889
103,7213,Jonathan Mostow,0.021116
104,15218,James Gunn,2.24165
105,525,Christopher Nolan,3.160919
106,525,Christopher Nolan,3.160919
107,77921,Hideaki Anno,0.08996
108,80752,Shinji Higuchi,0.615584
109,108,Peter Jackson,2.684107
110,18878,Rob Cohen,2.107122
111,7467,David Fincher,5.204688
112,957,Matthew Vaughn,1.423113
113,10943,Francis Lawrence,1.700731
114,12962,Jon Turteltaub,2.961042
115,5231,Wolfgang Petersen,1.303007
116,26205,James Bobin,0.072041
117,12098,Chris Miller,3.030446
118,12099,Raman Hui,1.242958
119,81850,Duncan Jones,0.070939
120,47005,Alan Taylor,1.198348
121,10781,Michael Apted,1.826864
122,865,Michael Bay,2.567437
123,865,Michael Bay,2.567437
124,1152,Oliver Stone,3.673877
125,11343,David Yates,2.936039
126,10723,Mike Newell,0.583453
127,36602,Peter Berg,1.664985
128,10943,Francis Lawrence,1.700731
129,510,Tim Burton,2.560796
130,7930,Jan Pinkava,0.002911
131,7087,Brad Bird,2.76686
132,525,Christopher Nolan,3.160919
133,18863,Eric Darnell,0.227493
134,18864,Tom McGrath,2.127654
135,17825,Shawn Levy,0.889116
136,13079,Gavin Hood,0.135905
137,9339,Lilly Wachowski,1.711121
138,9340,Lana Wachowski,1.119525
139,15774,Chris Buck,1.145082
140,1120694,Jennifer Lee,4.134621
141,9339,Lilly Wachowski,1.711121
142,9340,Lana Wachowski,1.119525
143,47005,Alan Taylor,1.198348
144,20629,George Miller,1.184464
145,6159,Ron Howard,5.661356
146,11181,Kenneth Branagh,5.63951
147,70238,Chris Williams,1.832057
148,76595,Byron Howard,1.01058
149,84851,Hoyt Yeatman,0.000431
